-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
3124,3121,3117,3113,3108,3103,3098,3092,3086,3080,3073,3065,3058,3049,3041,3032,3022,3012,3002,2991,2972,2961,2949,2936,2923,2910,2897,2883,2868,2853,2838,2822,2806,2790,2773,2755,2738,2720,2701,2682,2663,2643,2623,2602,2581,2559,2538,2515,2493,2470,2446,2422,2398,2373,2348,2322,2296,2270,2243,2215,2188,2159,2131,2102,2072,2042,2011,1980,1949,1917,1884,1851,1818,1783,1749,1713,1677,1641,1603,1565,1526,1486,1446,1404,1361,1317,1272,1225,1176,1126
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2857,2854,2850,2846,2841,2836,2831,2825,2819,2813,2806,2799,2791,2783,2774,2766,2756,2747,2736,2726,2707,2696,2684,2672,2660,2647,2634,2620,2606,2592,2577,2562,2546,2530,2514,2497,2480,2463,2445,2427,2408,2389,2370,2350,2330,2309,2288,2267,2245,2223,2201,2178,2155,2131,2107,2083,2058,2033,2008,1982,1956,1929,1902,1875,1847,1819,1790,1761,1732,1702,1672,1641,1610,1578,1546,1514,1481,1447,1413,1379,1343,1308,1271,1234,1196,1157,1117,1076,1034,990
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
3168,3165,3162,3158,3154,3149,3144,3138,3132,3125,3118,3110,3102,3094,3085,3076,3066,3055,3045,3033,3014,3002,2989,2976,2962,2948,2934,2919,2904,2888,2871,2855,2838,2820,2802,2783,2764,2745,2725,2705,2684,2663,2641,2619,2597,2574,2550,2526,2502,2477,2452,2427,2401,2374,2347,2320,2292,2264,2235,2206,2176,2146,2116,2085,2053,2021,1989,1956,1923,1889,1855,1820,1785,1749,1713,1676,1638,1600,1561,1522,1482,1441,1399,1357,1313,1269,1224,1177,1129,1079
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
3088,3084,3079,3074,3069,3064,3057,3051,3044,3037,3029,3021,3013,3004,2994,2985,2975,2964,2953,2942,2922,2910,2897,2884,2871,2857,2843,2828,2813,2798,2782,2766,2749,2732,2715,2697,2679,2660,2641,2622,2602,2582,2561,2540,2519,2497,2474,2452,2429,2405,2381,2357,2332,2307,2282,2256,2229,2202,2175,2147,2119,2091,2062,2032,2002,1972,1941,1910,1878,1846,1813,1780,1746,1712,1677,1641,1605,1568,1530,1492,1453,1413,1372,1330,1287,1243,1197,1150,1102,1051
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2804,2800,2796,2791,2786,2780,2774,2768,2761,2754,2746,2738,2729,2720,2711,2701,2691,2680,2669,2657,2638,2625,2612,2599,2585,2571,2557,2542,2527,2511,2495,2478,2461,2444,2426,2407,2389,2370,2350,2330,2310,2289,2268,2246,2225,2202,2179,2156,2133,2109,2084,2059,2034,2009,1982,1956,1929,1902,1874,1846,1818,1789,1760,1730,1700,1669,1638,1607,1575,1543,1510,1477,1443,1409,1374,1339,1303,1267,1230,1193,1155,1116,1077,1037,996,954,912,868,823,776
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
