-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
3229,3226,3222,3218,3214,3209,3204,3198,3192,3185,3178,3171,3163,3155,3146,3137,3127,3117,3106,3095,3076,3064,3052,3039,3026,3012,2998,2984,2969,2954,2938,2922,2905,2888,2871,2853,2834,2816,2796,2777,2757,2736,2715,2694,2672,2650,2628,2605,2581,2557,2533,2508,2483,2458,2432,2405,2378,2351,2323,2295,2267,2237,2208,2178,2148,2117,2085,2053,2021,1988,1955,1921,1886,1851,1816,1780,1743,1705,1667,1628,1589,1548,1507,1465,1421,1377,1331,1283,1234,1183
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
3175,3173,3171,3168,3165,3162,3158,3154,3149,3144,3138,3132,3126,3119,3112,3105,3097,3088,3080,3070,3053,3043,3032,3021,3010,2999,2987,2974,2961,2948,2934,2920,2906,2891,2876,2860,2844,2828,2811,2794,2776,2758,2740,2721,2702,2682,2662,2641,2621,2599,2578,2556,2533,2511,2487,2464,2440,2415,2391,2365,2340,2314,2287,2260,2233,2205,2177,2149,2120,2090,2060,2030,1999,1968,1936,1903,1871,1837,1803,1768,1733,1697,1660,1623,1584,1545,1504,1463,1420,1375
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
3019,3016,3013,3009,3005,3000,2995,2989,2983,2977,2970,2963,2955,2947,2938,2929,2920,2910,2900,2889,2870,2858,2846,2833,2820,2807,2793,2778,2764,2748,2733,2717,2700,2683,2666,2648,2630,2611,2592,2572,2552,2532,2511,2490,2468,2446,2423,2400,2376,2352,2328,2303,2278,2252,2226,2199,2172,2144,2116,2088,2059,2029,1999,1969,1938,1907,1875,1842,1809,1776,1742,1707,1672,1636,1600,1563,1525,1487,1448,1408,1367,1325,1283,1239,1195,1149,1101,1053,1002,949
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
3054,3052,3049,3046,3043,3039,3035,3031,3026,3020,3014,3008,3001,2994,2986,2978,2970,2961,2952,2942,2924,2913,2902,2891,2879,2866,2854,2840,2827,2813,2798,2783,2768,2752,2736,2719,2702,2685,2667,2649,2630,2611,2592,2572,2551,2530,2509,2487,2465,2443,2420,2397,2373,2349,2324,2299,2274,2248,2221,2195,2167,2140,2112,2083,2054,2025,1995,1964,1934,1902,1870,1838,1805,1772,1738,1704,1669,1633,1597,1560,1522,1484,1445,1404,1364,1322,1278,1234,1188,1141
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
3100,3098,3095,3092,3088,3084,3079,3074,3068,3062,3056,3049,3042,3034,3026,3017,3008,2998,2988,2977,2958,2947,2935,2923,2910,2897,2883,2869,2854,2839,2824,2808,2791,2775,2757,2740,2722,2703,2684,2665,2645,2624,2604,2583,2561,2539,2516,2494,2470,2447,2422,2398,2373,2347,2322,2295,2269,2241,2214,2186,2158,2129,2099,2070,2040,2009,1978,1947,1915,1882,1849,1816,1782,1748,1713,1678,1642,1606,1569,1532,1493,1455,1415,1375,1334,1292,1249,1205,1160,1114
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
